,Initial Comp.,,,,,,MC/MD comp.,,,,,MC/MD adsorption,,,,,Disorder
#,Co,Ni,Cr,Fe,Mn,Temp,Co,Ni,Cr,Fe,Mn,Co,Ni,Cr,Fe,Mn,
25,0.2,0.2,0.1,0.2,0.3,1000,0.2070794,0.2085478,0.08594366,0.2109868,0.2874422,-0.023594881,-0.02927,0.05171552,-0.0435559,0.04470514,0.4162224
,,,,,,1100,0.2031224,0.2096034,0.08738092,0.2127016,0.2871918,-0.009247118,-0.03389,0.04880528,-0.0558405,0.05017582,0.4089634
,,,,,,1200,0.2029532,0.209133,0.09150654,0.2092778,0.2871294,-0.006553546,-0.03831,0.03930972,-0.04260634,0.04816352,0.4407658
,,,,,,1300,0.1998886,0.210261,0.09320784,0.2095334,0.2871094,0.003062116,-0.03865,0.02889514,-0.04028746,0.04698512,0.4857114
26,0.25,0.2,0.2,0.15,0.2,1000,0.2730008,0.2099474,0.1621358,0.1700532,0.1848628,-0.07426144,-0.04113,0.133935,-0.07452884,0.05598576,0.42329
,,,,,,1100,0.2652648,0.2083478,0.1795746,0.159672,0.187141,-0.06156288,-0.03131,0.0877891,-0.04255736,0.04764352,0.3967806
,,,,,,1200,0.2622592,0.2082692,0.1811682,0.1608654,0.1874382,-0.0325358,-0.03118,0.05889376,-0.03635446,0.04117806,0.4134444
,,,,,,1300,0.2614812,0.207694,0.185595,0.1589504,0.186279,-0.03766996,-0.03441,0.05573984,-0.03419904,0.05053858,0.4430194
27,0.2,0.25,0.2,0.15,0.2,1000,0.2178676,0.260053,0.1673154,0.1690194,0.1857444,-0.0792844,-0.03826,0.146049,-0.08374396,0.05523562,0.4085672
,,,,,,1100,0.2111228,0.261636,0.1779682,0.1620898,0.1871834,-0.03836358,-0.04413,0.08448842,-0.04729788,0.04529892,0.4024924
,,,,,,1200,0.210034,0.2605232,0.1809134,0.1609648,0.1875648,-0.03657845,-0.04061,0.07459206,-0.0426173,0.0452128,0.414826
,,,,,,1300,0.2077114,0.2614296,0.1840088,0.1593416,0.1875084,-0.024411338,-0.03972,0.054251226,-0.031426439,0.04130494,0.386023
28,0.2,0.2,0.25,0.15,0.2,1000,0.2273044,0.2097756,0.1997916,0.178945,0.1841836,-0.10270932,-0.03327,0.1896596,-0.1121108,0.05842884,0.4098646
,,,,,,1100,0.2214014,0.2105092,0.214563,0.1697896,0.183737,-0.07952546,-0.03323,0.12692774,-0.07378268,0.05961012,0.4391876
,,,,,,1200,0.2128762,0.2082706,0.229918,0.1627222,0.1862128,-0.06132186,-0.02956,0.10353216,-0.06418876,0.05153818,0.4476484
,,,,,,1300,0.2084668,0.2121538,0.231094,0.1615732,0.1867118,-0.04464442,-0.04416,0.0950158,-0.05928266,0.05306922,0.4412416
29,0.2,0.2,0.2,0.15,0.25,1000,0.222844,0.2066286,0.161751,0.1737486,0.2350278,-0.08952466,-0.02391,0.1540528,-0.09926722,0.05865178,0.4191442
,,,,,,1100,0.2163926,0.2082396,0.1735282,0.1660168,0.235823,-0.06146946,-0.02743,0.09503888,-0.06034572,0.05421058,0.4311296
